Airline,American Airlines,Delta Air Lines,Southwest Airlines,United Airlines,Alaska Air,JetBlue,Spirit Airlines,Allegiant,Hawaiian,SkyWest,Continental Airlines,Northwest Airlines,TWA,America West Airlines,US Airways,Air Canada,WestJet Airlines,Exchange Income Corporation,IAG,British Airways,Iberia,Air France-KLM,Air France,KLM Royal Dutch,Ryanair,easyJet,Deutsche Lufthansa,Norwegian Air Shuttle,Finnair,Wizz Air,Singapore Airlines,Qantas Airways,Japan Airlines,ANA Holdings,Korean Air,Asiana Airlines,Cathay Pacific,Copa Holdings,Gol Linhas Aereas,LATAM Airlines,LAN Airlines,Air China,China Eastern,China Southern,Hainan Airlines,Spring Airlines,Juneyao Airlines,Indigo,SpiceJet,Jet Airways,Kenya Airlines,Comair,Emirates,Qatar Airways,Aeroflot,Turkish Airlines,Air Arabia,Jazeera Airways,Royal Jordanian
Status,public,public,public,public,public,public,public,public,public,public,merged with United 2010,merged with Delta 2008,"bankrupt 2001, acquired by AA",Merged with US Airways 2005,acquired by AA 2013,public,public,public,public,"merged with Iberia, now IAG","merged with BA, now IAG",public,merged with KLM,merged with AF,public,public,public,public,public,public,public,public,public,public,public,public,public,public,public,public,now part of LATAM,public,public,public,public,public,public,public,public,public,public,public,private,private,"taken private 2023, war",public,public,public,public
Country,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,CA,CA,CA,EU,EU,EU,EU,EU,EU,EU,EU,EU,EU,EU,EU,SG,AU,JP,JP,KR,KR,HK,PA,BR,CL,CL,CN,CN,CN,CN,CN,CN,IN,IN,IN,KE,ZA,AE,QA,RU,TR,AE,KW,JO
Region,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Asia Pacific,Asia Pacific,Asia Pacific,Asia Pacific,Asia Pacific,Asia Pacific,Asia Pacific,Latin America,Latin America,Latin America,Latin America,China,China,China,China,China,China,India,India,India,Africa,Africa,Middle East,Middle East,Russia,Turkey,Middle East,Middle East,Middle East
Ticker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IATA Code,AA,DL,WN,UA,AS,B6,NK,G4,HA,OO,CO,NW,TW,HP,US,AC,WS,,,BA,IB,AF/KL,AF,KL,FR,U2,LH,DY,AY,W6,SQ,QF,JL,NH,KE,OZ,CX,CM,G3,LA,,CA,MU,CZ,HU,9C,HO,6E,SG,9W,KQ,MN,EK,QR,SU,TK,G9,J9,RJ
Revenue TTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000'Q1,"18,223 M","16,101 M","4,964 M","18,358 M","2,110 M",,,,518 M,489 M,,"10,410 M","2,482 M",,,"4,934 M",161 M,,,,,"10,128 M",,,373 M,,,,"1,533 M",,"5,462 M","5,973 M",15 M,11 M,4 M,,"3,910 M",,,"1,310 M",,,"1,338 M","1,663 M",240 M,,,,0 M,,253 M,112 M,"1,609 M",,"1,226 M",,,,
2000'Q2,"18,717 M","16,315 M","5,193 M","18,690 M","2,138 M",,,,548 M,503 M,,"10,687 M","1,654 M",,,"5,359 M",181 M,,,,,"10,370 M",,,392 M,,,,"1,435 M",,"5,529 M","5,969 M",14 M,11 M,4 M,,"4,095 M",,,"1,354 M",,,"1,348 M","1,720 M",255 M,,,,0 M,,266 M,123 M,"1,700 M",,"1,287 M",,,,
2000'Q3,"19,210 M","16,528 M","5,421 M","19,021 M","2,166 M",,,,578 M,517 M,,"10,963 M",827 M,,,"5,783 M",202 M,,,,,"10,611 M",,,411 M,,,,"1,337 M",,"5,597 M","5,966 M",14 M,11 M,4 M,,"4,280 M",,,"1,398 M",,,"1,358 M","1,777 M",271 M,,,,1 M,,278 M,133 M,"1,791 M",,"1,347 M",,,,
2000'Q4,"19,703 M","16,741 M","5,650 M","19,352 M","2,194 M",105 M,,,607 M,531 M,,"11,240 M",,,,"6,208 M",222 M,,,,,"10,853 M",,,430 M,,,,"1,239 M",,"5,664 M","5,963 M",14 M,10 M,5 M,2 M,"4,464 M",,,"1,442 M",,,"1,368 M","1,834 M",286 M,,,,1 M,,291 M,144 M,"1,882 M",,"1,407 M",,,,
