Airline,American Airlines,Delta Air Lines,Southwest Airlines,United Airlines,Alaska Air,JetBlue,SkyWest,Northwest Airlines,TWA,Air Canada,IAG,Air France-KLM,Ryanair,easyJet,Deutsche Lufthansa,Finnair,Singapore Airlines,Qantas Airways,Cathay Pacific,LATAM Airlines,Air China,China Eastern,China Southern,Hainan Airlines,Qatar Airways,Aeroflot,Turkish Airlines
Status,public,public,public,public,public,public,public,merged with Delta 2008,"bankrupt 2001, acquired by AA",public,public,public,public,public,public,public,public,public,public,public,public,public,public,public,private,"taken private 2023, war",public
Country,US,US,US,US,US,US,US,US,US,CA,EU,EU,EU,EU,EU,EU,SG,AU,HK,CL,CN,CN,CN,CN,QA,RU,TR
Region,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,Europe,Europe,Europe,Europe,Europe,Europe,Asia Pacific,Asia Pacific,Asia Pacific,Latin America,China,China,China,China,Middle East,Russia,Turkey
Ticker,,,,,,,,,,,,,,,,,,,,,,,,,,,
IATA,AA,DL,WN,UA,AS,B6,OO,NW,TW,AC,,AF/KL,FR,U2,LH,AY,SQ,QF,CX,LA,CA,MU,CZ,HU,QR,SU,TK
Revenue TTM,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000'Q1,"18,223 M","16,101 M","4,964 M","18,358 M","2,110 M",,489 M,"10,410 M","2,482 M","4,934 M",,"10,128 M",373 M,,,"1,533 M","5,462 M","5,973 M","3,910 M","1,310 M",,"1,338 M","1,663 M",240 M,,"1,226 M",
2000'Q2,"18,717 M","16,315 M","5,193 M","18,690 M","2,138 M",,503 M,"10,687 M","1,654 M","5,359 M",,"10,370 M",392 M,,,"1,435 M","5,529 M","5,969 M","4,095 M","1,354 M",,"1,348 M","1,720 M",255 M,,"1,287 M",
2000'Q3,"19,210 M","16,528 M","5,421 M","19,021 M","2,166 M",,517 M,"10,963 M",827 M,"5,783 M",,"10,611 M",411 M,,,"1,337 M","5,597 M","5,966 M","4,280 M","1,398 M",,"1,358 M","1,777 M",271 M,,"1,347 M",
2000'Q4,"19,703 M","16,741 M","5,650 M","19,352 M","2,194 M",105 M,531 M,"11,240 M",,"6,208 M",,"10,853 M",430 M,,,"1,239 M","5,664 M","5,963 M","4,464 M","1,442 M",,"1,368 M","1,834 M",286 M,,"1,407 M",
2001'Q1,"19,520 M","16,026 M","5,626 M","18,549 M","2,184 M",159 M,549 M,"10,906 M",,"6,184 M",,"10,873 M",459 M,,,"1,299 M","5,528 M","5,780 M","4,324 M","1,442 M",,"1,393 M","1,885 M",314 M,,"1,445 M",
2001'Q2,"19,336 M","15,310 M","5,602 M","17,745 M","2,173 M",213 M,566 M,"10,573 M",,"6,160 M",,"10,894 M",487 M,,,"1,359 M","5,391 M","5,596 M","4,184 M","1,442 M",,"1,418 M","1,936 M",343 M,,"1,482 M",
2001'Q3,"19,153 M","14,595 M","5,579 M","16,942 M","2,163 M",266 M,584 M,"10,239 M",,"6,137 M",,"10,915 M",516 M,,,"1,419 M","5,255 M","5,413 M","4,044 M","1,443 M",,"1,443 M","1,988 M",371 M,,"1,520 M",
2001'Q4,"18,969 M","13,879 M","5,555 M","16,138 M","2,153 M",320 M,602 M,"9,905 M",,"6,113 M",,"10,936 M",544 M,,,"1,479 M","5,118 M","5,229 M","3,904 M","1,443 M",,"1,468 M","2,039 M",399 M,,"1,558 M",
2002'Q1,"18,582 M","13,876 M","5,547 M","16,059 M","2,171 M",399 M,645 M,"9,923 M",,"6,155 M",,"11,658 M",638 M,,,"1,545 M","5,327 M","5,521 M","3,989 M","1,449 M",,"1,503 M","2,074 M",445 M,,"1,563 M",
2002'Q2,"18,195 M","13,873 M","5,538 M","15,980 M","2,188 M",478 M,688 M,"9,941 M",,"6,198 M",,"12,380 M",731 M,,,"1,611 M","5,537 M","5,812 M","4,073 M","1,455 M",,"1,538 M","2,108 M",491 M,,"1,567 M",
2002'Q3,"17,807 M","13,869 M","5,530 M","15,901 M","2,206 M",556 M,731 M,"9,958 M",,"6,240 M",,"13,102 M",825 M,,,"1,678 M","5,746 M","6,103 M","4,158 M","1,460 M",,"1,573 M","2,143 M",537 M,,"1,572 M",
2002'Q4,"17,420 M","13,866 M","5,522 M","15,822 M","2,224 M",635 M,774 M,"9,976 M",,"6,282 M",,"13,825 M",918 M,,,"1,744 M","5,955 M","6,395 M","4,243 M","1,466 M",,"1,607 M","2,177 M",583 M,,"1,576 M",
2003'Q1,"17,425 M","13,977 M","5,626 M","15,599 M","2,279 M",726 M,803 M,"10,001 M",,"6,330 M",,"14,152 M","1,017 M",,,"1,813 M","5,920 M","6,694 M","4,142 M","1,514 M",,"1,637 M","2,161 M",599 M,,"1,621 M",
2003'Q2,"17,430 M","14,087 M","5,729 M","15,375 M","2,334 M",817 M,831 M,"10,027 M",,"6,378 M",,"14,480 M","1,116 M",,,"1,881 M","5,885 M","6,993 M","4,041 M","1,562 M",,"1,666 M","2,145 M",615 M,,"1,666 M",
2003'Q3,"17,435 M","14,198 M","5,833 M","15,152 M","2,390 M",908 M,860 M,"10,052 M",,"6,427 M",,"14,807 M","1,214 M",,,"1,949 M","5,849 M","7,292 M","3,939 M","1,610 M",,"1,696 M","2,129 M",631 M,,"1,710 M",
2003'Q4,"17,440 M","14,308 M","5,937 M","14,928 M","2,445 M",998 M,888 M,"10,077 M",,"6,475 M",,"15,135 M","1,313 M","1,560 M",,"2,018 M","5,814 M","7,591 M","3,838 M","1,658 M","2,996 M","1,725 M","2,113 M",648 M,,"1,755 M",
2004'Q1,"17,741 M","14,540 M","6,085 M","15,294 M","2,515 M","1,065 M",955 M,"10,378 M",,"6,681 M",,"17,520 M","1,412 M","1,660 M",,"2,093 M","6,181 M","7,649 M","4,135 M","1,779 M","3,273 M","1,941 M","2,311 M",734 M,,"1,859 M",
2004'Q2,"18,043 M","14,772 M","6,234 M","15,660 M","2,584 M","1,131 M","1,022 M","10,678 M",,"6,887 M",,"19,905 M","1,512 M","1,761 M",,"2,167 M","6,548 M","7,706 M","4,432 M","1,900 M","3,550 M","2,157 M","2,508 M",821 M,,"1,964 M",
2004'Q3,"18,344 M","15,003 M","6,382 M","16,025 M","2,654 M","1,198 M","1,089 M","10,979 M",,"7,092 M",,"22,290 M","1,611 M","1,862 M",,"2,242 M","6,915 M","7,764 M","4,729 M","2,021 M","3,827 M","2,373 M","2,705 M",908 M,,"2,068 M",
2004'Q4,"18,645 M","15,235 M","6,530 M","16,391 M","2,724 M","1,265 M","1,156 M","11,279 M",,"7,298 M",,"24,676 M","1,710 M","1,962 M",,"2,317 M","7,281 M","7,822 M","5,026 M","2,142 M","4,105 M","2,589 M","2,902 M",994 M,,"2,173 M",
