,ABNB,BKNG,EXPE,TCOM,TRIP,TRVG,EDR,DESP,MMYT,Ixigo,SEERA,Almosafer,Wego,Webjet,Webjet OTA,Cleartrip Arabia,Cleartrip ME & Flyin,LMN,EaseMyTrip,Yatra,Orbitz,Travelocity,FLT,Skyscanner,Etraveli,Kiwi,Cleartrip,Traveloka,LONG,TCEL
Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997'Q1,,,$2.70Ê,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997'Q2,,,$2.70Ê,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997'Q3,,,$2.70Ê,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997'Q4,,,$2.70Ê,,,,,,,,,,,,,,,,,,,$9Ê,$922Ê,,,,,,,
1998'Q1,,$35.20Ê,$5.50Ê,,,,,,,,,,,,,,,,,,,$12Ê,$924Ê,,,,,,,
1998'Q2,,$35.20Ê,$8.30Ê,,,,,,,,,,,,,,,,,,,$15Ê,$926Ê,,,,,,,
1998'Q3,,$35Ê,$11Ê,,,,,,,,,,,,,,,,,,,$18Ê,$997Ê,,,,,,,
1998'Q4,,$35Ê,$14Ê,,,,,,,,,,,,,,,,,,,$21Ê,"$1,069Ê",,,,,,,
1999'Q1,,$147Ê,$20Ê,,,,,,,,,,,,,,,$0.20Ê,,,,$32Ê,"$1,140Ê",,,,,,,
1999'Q2,,$259Ê,$26Ê,,,,,,,,,,,,,,,$0.20Ê,,,,$43Ê,"$1,212Ê",,,,,,,
1999'Q3,,$371Ê,$32Ê,,,,,,,,,,,,,,,$0.20Ê,,,,$53Ê,"$1,269Ê",,,,,,,
1999'Q4,,$482Ê,$39Ê,,,,,,,,,,,,,,,$0.20Ê,,,,$64Ê,"$1,326Ê",,,,,,,
2000'Q1,,$671Ê,$53Ê,$1Ê,,,,,,,,,,,,,,$1.50Ê,,,,$96Ê,"$1,384Ê",,,,,,,
2000'Q2,,$859Ê,$67Ê,$1Ê,,,,,,,,,,,,,,$2.80Ê,,,,$128Ê,"$1,441Ê",,,,,,,
2000'Q3,,"$1,047Ê",$81Ê,$1Ê,,,,,,,,,,,,,,$4.20Ê,,,,$161Ê,"$1,463Ê",,,,,,,
2000'Q4,,"$1,235Ê",$95Ê,$1Ê,,,,,,,,,,,,,,$5.50Ê,,,,$193Ê,"$1,485Ê",,,,,,,
2001'Q1,,"$1,219Ê",$127Ê,$2Ê,,,,,,,,,,$0Ê,,,,$11Ê,,,$43Ê,$220Ê,"$1,507Ê",,,,,,,
2001'Q2,,"$1,204Ê",$158Ê,$3Ê,,,,,,,,,,$0Ê,,,,$16Ê,,,$43Ê,$247Ê,"$1,529Ê",,,,,,,
2001'Q3,,"$1,188Ê",$190Ê,$4Ê,,,,,,,,,,$0Ê,,,,$22Ê,,,$43Ê,$274Ê,"$1,655Ê",,,,,,,
2001'Q4,,"$1,172Ê",$222Ê,$5Ê,,,,,,,,,,$0Ê,,,,$27Ê,,,$43Ê,$302Ê,"$1,782Ê",,,,,,,
2002'Q1,,"$1,130Ê",$541Ê,$7Ê,,,,,,,,,,$0Ê,,,,$34Ê,,,$76Ê,,"$1,909Ê",,,,,,,
2002'Q2,,"$1,088Ê",$861Ê,$9Ê,,,,,,,,,,$1Ê,,,,$41Ê,,,$109Ê,,"$2,035Ê",,,,,,,
2002'Q3,,"$1,046Ê","$1,180Ê",$10Ê,,,,,,,,,,$1Ê,,,,$48Ê,,,$142Ê,,"$1,628Ê",,,,,,,
2002'Q4,,"$1,004Ê","$1,499Ê",$12Ê,,,,,,,,,,$1Ê,,,,$55Ê,,,$176Ê,,"$1,220Ê",,,,,,,
2003'Q1,,$969Ê,"$1,709Ê",$15Ê,,,,,,,,,,$1Ê,,,,$130Ê,,,$192Ê,,$812Ê,,,,,,$8Ê,
2003'Q2,,$934Ê,"$1,919Ê",$17Ê,,,,,,,,,,$1Ê,,,,$205Ê,,,$209Ê,,$405Ê,,,,,,$8Ê,
2003'Q3,,$899Ê,"$2,130Ê",$19Ê,,,,,,,,,,$1Ê,,,,$280Ê,,,$225Ê,,$437Ê,,,,,,$8Ê,
2003'Q4,,$864Ê,"$2,340Ê",$22Ê,,,,,,,,,,$1Ê,,,,$355Ê,,,$242Ê,,$469Ê,,,,,,$8Ê,
2004'Q1,,$876Ê,"$2,216Ê",$26Ê,,,,,,,,,,$1Ê,,,,,,,$242Ê,,$502Ê,,,,,,$10Ê,
2004'Q2,,$889Ê,"$2,091Ê",$31Ê,,,,,,,,,,$1Ê,,,,,,,$243Ê,,$534Ê,,,,,,$12Ê,
2004'Q3,,$902Ê,"$1,967Ê",$36Ê,,,,,,,,,,$2Ê,,,,,,,$243Ê,,$567Ê,,,,,,$13Ê,
2004'Q4,,$914Ê,"$1,843Ê",$41Ê,,,,,,,,,,$2Ê,,,,,,,,,$600Ê,,,,,,$15Ê,
2005'Q1,,$926Ê,"$1,912Ê",$48Ê,,,,,,,,,,$3Ê,,,,,,,,,$632Ê,,,,,,$17Ê,
2005'Q2,,$939Ê,"$1,981Ê",$54Ê,,,,,,,,,,$4Ê,,,,,,,,,$665Ê,,,,,,$19Ê,
2005'Q3,,$951Ê,"$2,050Ê",$61Ê,,,,,,,,,,$5Ê,,,,,,,,,$680Ê,,,,,,$20Ê,
2005'Q4,,$963Ê,"$2,119Ê",$67Ê,,,,,,,,,,$6Ê,,,,,,,,,$695Ê,,,,,,$22Ê,
2006'Q1,,"$1,003Ê","$2,149Ê",$76Ê,,,,,,,,,,$7Ê,,,,,,,,,$710Ê,,,,,,$25Ê,
2006'Q2,,"$1,043Ê","$2,179Ê",$84Ê,,,,,,,,,,$9Ê,,,,,,,,,$725Ê,,,,,,$27Ê,
2006'Q3,,"$1,083Ê","$2,208Ê",$93Ê,,,,,,,,,,$10Ê,,,,,,,,,$779Ê,,,,,,$30Ê,
2006'Q4,,"$1,123Ê","$2,238Ê",$101Ê,,,,,,,,,,$11Ê,,,,,,,,,$834Ê,,,,,,$32Ê,
