,ABNB,BKNG,EXPE,TCOM,TRIP,TRVG,EDR,DESP,"MMYT
FY ends in 'Mar","Ixigo
FY ends in 'Mar",SEERA,Almosafer,Wego,"Webjet
FY ends in June until '21",Webjet OTA,Cleartrip Arabia,Cleartrip ME & Flyin,LMN,"EaseMyTrip
FY ends in 'Mar","Yatra
FY ends in 'Mar",Orbitz,Travelocity,FLT,Skyscanner,Etraveli,Kiwi,Cleartrip,Traveloka
Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,,,3 M,,,,,,,,,,,,,,,,,,,9 M,919 M,,,,,
1998,,35 M,14 M,,,,,,,,,,,,,,,,,,,21 M,926 M,,,,,
1999,,482 M,39 M,,,,,,,,,,,,,,,0 M,,,,64 M,"1,212 M",,,,,
2000,,"1,235 M",95 M,1 M,,,,,,,,,,,,,,5 M,,,,193 M,"1,441 M",,,,,
2001,,"1,172 M",222 M,5 M,,,,,,,,,,0 M,,,,27 M,,,43 M,302 M,"1,529 M",,,,,
2002,,"1,004 M","1,499 M",12 M,,,,,,,,,,1 M,,,,55 M,,,176 M,,"2,035 M",,,,,
2003,,864 M,"2,340 M",22 M,,,,,,,,,,1 M,,,,355 M,,,242 M,,405 M,,,,,
2004,,914 M,"1,843 M",41 M,,,,,,,,,,1 M,,,,,,,244 M,,534 M,,,,,
2005,,963 M,"2,119 M",67 M,,,,,,,,,,4 M,,,,,,,686 M,,665 M,,,,,
2006,,"1,123 M","2,238 M",101 M,,,,,,,,,,9 M,,,,,,,752 M,,725 M,,,,,
2007,,"1,409 M","2,665 M",169 M,,,,,,,,,,13 M,,,,,,,859 M,,944 M,,,,,
2008,,"1,885 M","2,937 M",225 M,,,,,,,,,,23 M,,,,,,,870 M,,"1,387 M",,,,,
2009,,"2,338 M","2,743 M",300 M,352 M,,,,69 M,,190 M,,,23 M,,,,,,,738 M,,"1,358 M",,,,,
2010,,"3,085 M","3,034 M",450 M,485 M,,,,84 M,,265 M,,,32 M,,,,,,,757 M,,"1,503 M",,,,,
2011,,"4,356 M","3,449 M",574 M,637 M,,,,125 M,,292 M,,,47 M,,,,,,,768 M,,"1,952 M",,,,,
2012,,"5,261 M","4,030 M",682 M,763 M,,566 M,,197 M,,335 M,,,59 M,,,,99 M,,,779 M,,"2,021 M",,,,,
2013,,"6,793 M","4,771 M",909 M,945 M,,614 M,,229 M,,383 M,,,69 M,,,,170 M,,,847 M,,"1,803 M",107 M,,,,
2014,,"8,442 M","5,763 M","1,201 M","1,246 M",376 M,660 M,,257 M,,468 M,,4 M,93 M,,,,178 M,,,932 M,,"2,080 M",138 M,,6 M,,
2015,919 M,"9,224 M","6,672 M","1,679 M","1,492 M",537 M,155 M,422 M,301 M,,540 M,,8 M,92 M,,,,272 M,,,,,"1,815 M",163 M,26 M,87 M,,1 M
2016,"1,656 M","10,743 M","8,774 M","2,767 M","1,480 M",795 M,527 M,411 M,337 M,,457 M,,9 M,115 M,,,,276 M,,,,,"1,958 M",195 M,37 M,329 M,,66 M
2017,"2,562 M","12,681 M","10,060 M","4,113 M","1,556 M","1,242 M",520 M,524 M,448 M,,446 M,,12 M,159 M,,,,310 M,20 M,145 M,,,"2,037 M",289 M,50 M,861 M,48 M,105 M
2018,"3,652 M","14,527 M","11,223 M","4,518 M","1,615 M","1,047 M",631 M,531 M,676 M,,428 M,,19 M,563 M,,,,333 M,39 M,190 M,,,"2,162 M",332 M,66 M,"1,236 M",47 M,186 M
2019,"4,805 M","15,066 M","12,067 M","5,105 M","1,560 M",942 M,619 M,525 M,486 M,6 M,381 M,,29 M,254 M,,,,392 M,28 M,139 M,,,"2,130 M",409 M,96 M,"1,428 M",41 M,235 M
2020,"3,378 M","6,796 M","5,199 M","2,803 M",604 M,305 M,615 M,131 M,512 M,15 M,82 M,63 M,8 M,183 M,,,,129 M,23 M,98 M,,,"1,403 M",138 M,39 M,549 M,15 M,148 M
2021,"5,992 M","10,958 M","8,598 M","3,143 M",902 M,409 M,126 M,323 M,167 M,19 M,162 M,130 M,11 M,29 M,28 M,,,186 M,19 M,19 M,,,475 M,153 M,52 M,776 M,15 M,132 M
2022,"8,399 M","17,090 M","11,667 M","2,868 M","1,492 M",571 M,454 M,538 M,307 M,50 M,246 M,137 M,21 M,104 M,58 M,,,328 M,31 M,28 M,,,720 M,343 M,115 M,264 M,12 M,227 M
2023,"9,917 M","21,365 M","12,839 M","6,231 M","1,788 M",536 M,642 M,706 M,596 M,61 M,377 M,219 M,31 M,245 M,77 M,,,362 M,55 M,48 M,,,"1,513 M",437 M,207 M,314 M,,298 M
2024,,,,,,,703 M,,783 M,80 M,,,,314 M,,,,,73 M,51 M,,,"1,831 M",,,,,
