,ABNB,BKNG,EXPE,TCOM,TRIP,TRVG,EDR,DESP,MMYT,Ixigo,SEERA,Almosafer,Wego,Webjet,Webjet OTA,Cleartrip Arabia,Cleartrip ME & Flyin,LMN,EaseMyTrip,Yatra,Orbitz,Travelocity,FLT,Skyscanner,Etraveli,Kiwi,Cleartrip,Traveloka
Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997'Q1,,,$0.7 ,,,,,,,,,,,,,,,,,,,$2.3 ,$229.7 ,,,,,
1997'Q2,,,$0.7 ,,,,,,,,,,,,,,,,,,,$2.3 ,$229.7 ,,,,,
1997'Q3,,,$0.7 ,,,,,,,,,,,,,,,,,,,$2.3 ,$231.4 ,,,,,
1997'Q4,,,$0.7 ,,,,,,,,,,,,,,,,,,,$2.3 ,$231.4 ,,,,,
1998'Q1,,$8.8 ,$3.5 ,,,,,,,,,,,,,,,,,,,$5.3 ,$231.4 ,,,,,
1998'Q2,,$8.8 ,$3.5 ,,,,,,,,,,,,,,,,,,,$5.3 ,$231.4 ,,,,,
1998'Q3,,$8.8 ,$3.5 ,,,,,,,,,,,,,,,,,,,$5.3 ,$303.0 ,,,,,
1998'Q4,,$8.8 ,$3.5 ,,,,,,,,,,,,,,,,,,,$5.3 ,$303.0 ,,,,,
1999'Q1,,$121 ,$10 ,,,,,,,,,,,,,,,$0.0 ,,,,$16.0 ,$303.0 ,,,,,
1999'Q2,,$121 ,$10 ,,,,,,,,,,,,,,,$0.0 ,,,,$16.0 ,$303.0 ,,,,,
1999'Q3,,$121 ,$10 ,,,,,,,,,,,,,,,$0.0 ,,,,$16.0 ,$360.2 ,,,,,
1999'Q4,,$121 ,$10 ,,,,,,,,,,,,,,,$0.0 ,,,,$16.0 ,$360.2 ,,,,,
2000'Q1,,$309 ,$24 ,$0.2 ,,,,,,,,,,,,,,$1.4 ,,,,$48.2 ,$360.2 ,,,,,
2000'Q2,,$309 ,$24 ,$0.2 ,,,,,,,,,,,,,,$1.4 ,,,,$48.2 ,$360.2 ,,,,,
2000'Q3,,$309 ,$24 ,$0.2 ,,,,,,,,,,,,,,$1.4 ,,,,$48.2 ,$382.2 ,,,,,
2000'Q4,,$309 ,$24 ,$0.2 ,,,,,,,,,,,,,,$1.4 ,,,,$48.2 ,$382.2 ,,,,,
2001'Q1,,$293 ,$56 ,$1 ,,,,,,,,,,$0.03 ,,,,$6.8 ,,,$10.9 ,$75.4 ,$382.2 ,,,,,
2001'Q2,,$293 ,$56 ,$1 ,,,,,,,,,,$0.03 ,,,,$6.8 ,,,$10.9 ,$75.4 ,$382.2 ,,,,,
2001'Q3,,$293 ,$56 ,$1 ,,,,,,,,,,$0.1 ,,,,$6.8 ,,,$10.9 ,$75.4 ,$508.8 ,,,,,
2001'Q4,,$293 ,$56 ,$1 ,,,,,,,,,,$0.1 ,,,,$6.8 ,,,$10.9 ,$75.4 ,$508.8 ,,,,,
2002'Q1,,$251 ,$375 ,$3 ,,,,,,,,,,$0.1 ,,,,$13.7 ,,,$43.9 ,,$508.8 ,,,,,
2002'Q2,,$251 ,$375 ,$3 ,,,,,,,,,,$0.1 ,,,,$13.7 ,,,$43.9 ,,$508.8 ,,,,,
2002'Q3,,$251 ,$375 ,$3 ,,,,,,,,,,$0.2 ,,,,$13.7 ,,,$43.9 ,,$101.2 ,,,,,
2002'Q4,,$251 ,$375 ,$3 ,,,,,,,,,,$0.2 ,,,,$13.7 ,,,$43.9 ,,$101.2 ,,,,,
2003'Q1,,$216 ,$585 ,$5 ,,,,,,,,,,$0.2 ,,,,$88.7 ,,,$60.5 ,,$101.2 ,,,,,
2003'Q2,,$216 ,$585 ,$5 ,,,,,,,,,,$0.2 ,,,,$88.7 ,,,$60.5 ,,$101.2 ,,,,,
2003'Q3,,$216 ,$585 ,$5 ,,,,,,,,,,$0.2 ,,,,$88.7 ,,,$60.5 ,,$133.5 ,,,,,
2003'Q4,,$216 ,$585 ,$5 ,,,,,,,,,,$0.2 ,,,,$88.7 ,,,$60.5 ,,$133.5 ,,,,,
2004'Q1,,$229 ,$461 ,$10 ,,,,,,,,,,$0.2 ,,,,,,,$61.0 ,,$133.5 ,,,,,
2004'Q2,,$229 ,$461 ,$10 ,,,,,,,,,,$0.2 ,,,,,,,$61.0 ,,$133.5 ,,,,,
2004'Q3,,$229 ,$461 ,$10 ,,,,,,,,,,$1.0 ,,,,,,,$61.0 ,,$166.3 ,,,,,
2004'Q4,,$229 ,$461 ,$10 ,,,,,,,,,,$1.0 ,,,,,,,,,$166.3 ,,,,,
2005'Q1,,$241 ,$530 ,$17 ,,,,,,,,,,$1.0 ,,,,,,,,,$166.3 ,,,,,
2005'Q2,,$241 ,$530 ,$17 ,,,,,,,,,,$1.0 ,,,,,,,,,$166.3 ,,,,,
2005'Q3,,$241 ,$530 ,$17 ,,,,,,,,,,$2.1 ,,,,,,,,,$181.2 ,,,,,
2005'Q4,,$241 ,$530 ,$17 ,,,,,,,,,,$2.1 ,,,,,,,,,$181.2 ,,,,,
2006'Q1,,$281 ,$559 ,$25 ,,,,,,,,,,$2.1 ,,,,,,,,,$181.2 ,,,,,
2006'Q2,,$281 ,$559 ,$25 ,,,,,,,,,,$2.1 ,,,,,,,,,$181.2 ,,,,,
2006'Q3,,$281 ,$559 ,$25 ,,,,,,,,,,$3.3 ,,,,,,,,,$235.9 ,,,,,
2006'Q4,,$281 ,$559 ,$25 ,,,,,,,,,,$3.3 ,,,,,,,,,$235.9 ,,,,,
2007'Q1,,$352 ,$666 ,$42 ,,,,,,,,,,$3.3 ,,,,,,,,,$235.9 ,,,,,
2007'Q2,,$352 ,$666 ,$42 ,,,,,,,,,,$3.3 ,,,,,,,$215 ,,$235.9 ,,,,,
2007'Q3,,$352 ,$666 ,$42 ,,,,,,,,,,$5.7 ,,,,,,,$215 ,,$346.8 ,,,,,
2007'Q4,,$352 ,$666 ,$42 ,,,,,,,,,,$5.7 ,,,,,,,$215 ,,$346.8 ,,,,,
2008'Q1,,$471 ,$734 ,$56 ,,,,,,,,,,$5.7 ,,,,,,,$218 ,,$346.8 ,,,,,
2008'Q2,,$471 ,$734 ,$56 ,,,,,$17 ,,,,,$5.7 ,,,,,,,$218 ,,$346.8 ,,,,,
2008'Q3,,$471 ,$734 ,$56 ,,,,,$17 ,,,,,$5.7 ,,,,,,,$218 ,,$339.5 ,,,,,
2008'Q4,,$471 ,$734 ,$56 ,,,,,$17 ,,,,,$5.7 ,,,,,,,$218 ,,$339.5 ,,,,,
2009'Q1,,$585 ,$686 ,$75 ,$88 ,,,,$17 ,,$47 ,,,$5.7 ,,,,,,,$185 ,,$339.5 ,,,,,
2009'Q2,,$585 ,$686 ,$75 ,$88 ,,,,$21 ,,$47 ,,,$5.7 ,,,,,,,$185 ,,$339.5 ,,,,,
2009'Q3,,$585 ,$686 ,$75 ,$88 ,,,,$21 ,,$47 ,,,$7.9 ,,,,,,,$185 ,,$375.8 ,,,,,
2009'Q4,,$585 ,$686 ,$75 ,$88 ,,,,$21 ,,$47 ,,,$7.9 ,,,,,,,$185 ,,$375.8 ,,,,,
2010'Q1,,$771 ,$758 ,$113 ,$121 ,,,,$21 ,,$66 ,,,$7.9 ,,,,,,,$189 ,,$375.8 ,,,,,
2010'Q2,,$771 ,$758 ,$113 ,$121 ,,,,$31 ,,$66 ,,,$7.9 ,,,,,,,$189 ,,$375.8 ,,,,,
2010'Q3,,$771 ,$758 ,$113 ,$121 ,,,,$31 ,,$66 ,,,$11.7 ,,,,,,,$189 ,,$487.9 ,,,,,
2010'Q4,,$771 ,$758 ,$113 ,$121 ,,,,$31 ,,$66 ,,,$11.7 ,,,,,,,$189 ,,$487.9 ,,,,,
2011'Q1,,"$1,089 ",$862 ,$143 ,$159 ,,,,$31 ,,$73 ,,,$11.7 ,,,,,,,$192 ,,$487.9 ,,,,,
2011'Q2,,"$1,089 ",$862 ,$143 ,$159 ,,$141 ,,$49 ,,$73 ,,,$11.7 ,,,,,,,$192 ,,$487.9 ,,,,,
2011'Q3,,"$1,089 ",$862 ,$143 ,$159 ,,$141 ,,$49 ,,$73 ,,,$14.7 ,,,,,,,$192 ,,$505.3 ,,,,,
2011'Q4,,"$1,089 ",$862 ,$143 ,$159 ,,$141 ,,$49 ,,$73 ,,,$14.7 ,,,,,,,$192 ,,$505.3 ,,,,,
2012'Q1,,"$1,315 ","$1,008 ",$170 ,$191 ,,$141 ,,$49 ,,$84 ,,,$14.7 ,,,,$25 ,,,$195 ,,$505.3 ,,,,,
2012'Q2,,"$1,315 ","$1,008 ",$170 ,$191 ,,$154 ,,$57 ,,$84 ,,,$14.7 ,,,,$25 ,,,$195 ,,$505.3 ,,,,,
2012'Q3,,"$1,315 ","$1,008 ",$170 ,$191 ,,$154 ,,$57 ,,$84 ,,,$17.3 ,,,,$25 ,,,$195 ,,$450.7 ,,,,,
2012'Q4,,"$1,315 ","$1,008 ",$170 ,$191 ,,$154 ,,$57 ,,$84 ,,,$17.3 ,,,,$25 ,,,$195 ,,$450.7 ,,,,,
2013'Q1,,"$1,698 ","$1,193 ",$227 ,$236 ,,$154 ,,$57 ,,$96 ,,,$17.3 ,,,,$42 ,,,$212 ,,$450.7 ,$451 ,,,,
2013'Q2,,"$1,698 ","$1,193 ",$227 ,$236 ,,$165 ,,$64 ,,$96 ,,,$17.3 ,,,,$42 ,,,$212 ,,$450.7 ,$451 ,,,,
2013'Q3,,"$1,698 ","$1,193 ",$227 ,$236 ,,$165 ,,$64 ,,$96 ,,,$23.2 ,,,,$42 ,,,$212 ,,$520.0 ,$451 ,,,,
2013'Q4,,"$1,698 ","$1,193 ",$227 ,$236 ,,$165 ,,$64 ,,$96 ,,,$23.2 ,,,,$42 ,,,$212 ,,$520.0 ,$451 ,,,,
2014'Q1,,"$2,110 ","$1,441 ",$300 ,$312 ,$94 ,$165 ,,$64 ,,$117 ,,,$23.2 ,,,,$45 ,,,$233 ,,$520.0 ,$520 ,,$0 ,,
2014'Q2,,"$2,110 ","$1,441 ",$300 ,$312 ,$94 ,$39 ,,$75 ,,$117 ,,,$23.2 ,,,,$45 ,,,$233 ,,$520.0 ,$520 ,,$0 ,,
2014'Q3,,"$2,110 ","$1,441 ",$300 ,$312 ,$94 ,$39 ,,$75 ,,$117 ,,,$22.9 ,,,,$45 ,,,$233 ,,$453.8 ,$520 ,,$0 ,,
2014'Q4,,"$2,110 ","$1,441 ",$300 ,$312 ,$94 ,$39 ,,$75 ,,$117 ,,,$22.9 ,,,,$45 ,,,$233 ,,$453.8 ,$520 ,,$0 ,,
2015'Q1,$230 ,"$2,306 ","$1,668 ",$420 ,$373 ,$134 ,$39 ,$105 ,$75 ,,$135 ,,,$22.9 ,,,,$68 ,,,,,$453.8 ,$454 ,$41 ,$7 ,,
2015'Q2,$230 ,"$2,306 ","$1,668 ",$420 ,$373 ,$134 ,$132 ,$105 ,$84 ,,$135 ,,,$22.9 ,,,,$68 ,,,,,$453.8 ,$454 ,$41 ,$7 ,,
2015'Q3,$230 ,"$2,306 ","$1,668 ",$420 ,$373 ,$134 ,$132 ,$105 ,$84 ,,$135 ,,,$28.7 ,,,,$68 ,,,,,$489.5 ,$454 ,$41 ,$7 ,,
2015'Q4,$230 ,"$2,306 ","$1,668 ",$420 ,$373 ,$134 ,$132 ,$105 ,$84 ,,$135 ,,,$28.7 ,,,,$68 ,,,,,$489.5 ,$454 ,$41 ,$7 ,,
2016'Q1,$414 ,"$2,148","$1,904",$682,$352,$159,$132 ,$95,$88,,$143,,$2.1,$28.7 ,,,,$69 ,,27.7,,,$489.5 ,$490 ,$49 ,$9 ,,$0 
2016'Q2,$414 ,"$2,556","$2,196",$684,$391,$179,$130 ,$99,$121,,$166,,$2.2,$28.7 ,,,,$69 ,$77.6 ,31.3,,,$489.5 ,$490 ,$49 ,$9 ,,$0 
2016'Q3,$414 ,"$3,691","$2,581",$850,$421,$247,$130 ,$106,$83,,$140,,$2.6,$39.7 ,,,,$69 ,$77.6 ,31.3,,,$509.2 ,$490 ,$49 ,$9 ,,$0 
2016'Q4,$414 ,"$2,348","$2,093",$746,$316,$169,$130 ,$111,$123,,$124,,$2.1,$39.7 ,,,,$69 ,$77.6 ,31.3,,,$509.2 ,$490 ,$49 ,$9 ,,$0 
2017'Q1,$640 ,"$2,419","$2,189",$891,$372,$268,$130 ,$125,$120,,$124,,$2.7,$39.7 ,,,,$78 ,$77.6 ,31.3,,,$509.2 ,$509 ,$72 ,$12 ,$215 ,$12 
2017'Q2,$640 ,"$3,025","$2,586",$953,$424,$298,$148,$123,$192,,$153,,$3.0,$39.7 ,,,,$78 ,$83.3 ,41.6,,,$509.2 ,$509 ,$72 ,$12 ,$215 ,$12 
2017'Q3,$640 ,"$4,434","$2,966","$1,196",$439,$288,$142,$131,$153,,$130,,$3.2,$140.7 ,,,,$78 ,$83.3 ,41.6,,,$540.6 ,$509 ,$72 ,$12 ,$215 ,$12 
2017'Q4,$640 ,"$2,803","$2,319",$988,$321,$182,$125,$144,$172,,$154,,$2.9,$140.7 ,,,,$78 ,$83.3 ,41.6,,,$540.6 ,$509 ,$72 ,$12 ,$215 ,$12 
2018'Q1,$913 ,"$2,928","$2,508","$1,079",$378,$259,$154,$149,$158,,$128,,$4.0,$140.7 ,,,,$83 ,$83.3 ,41.6,,,$540.6 ,$541 ,$83 ,$16 ,$309 ,$12 
2018'Q2,$913 ,"$3,537","$2,880","$1,112",$433,$235,$148,$128,$137,,$142,,$4.3,$140.7 ,,,,$83 ,$98.0 ,33.8,,,$540.6 ,$541 ,$83 ,$16 ,$309 ,$12 
2018'Q3,$913 ,"$4,849","$3,276","$1,368",$458,$254,$146,$121,$104,,$131,,$5.1,$57.1,,,,$83 ,$98.0 ,33.8,,,$532.4 ,$541 ,$83 ,$16 ,$309 ,$12 
2018'Q4,$913 ,"$3,213","$2,559","$1,103",$346,$167,$125,$133,$125,,$118,,$5.5,$57.1,,,,$83 ,$98.0 ,33.8,,,$532.4 ,$541 ,$83 ,$16 ,$309 ,$12 
2019'Q1,$839,"$2,837","$2,609","$1,218",$376,$209,$167,$133,$120,,$81,$17.2,$6.1,$62.3,,,,$94,$98.0 ,32.7,,,$532.4 ,$532 ,$102 ,$24 ,$357 ,$10 
2019'Q2,"$1,214","$3,850","$3,153","$1,267",$422,$224,$156,$114,$142,,$91,$58.2,$7.4,$62.3,,,,$94,$32.2 ,32.7,,,$532.4 ,$532 ,$102 ,$24 ,$357 ,$10 
2019'Q3,"$1,646","$5,040","$3,558","$1,469",$428,$251,$154,$132,$118,,$93,$64.9,$8.0,$70.9,,,,$98,$32.2 ,24.9,,,$350.7 ,$532 ,$102 ,$24 ,$357 ,$10 
2019'Q4,"$1,107","$3,339","$2,747","$1,150",$335,$156,$145,$146,$147,,$75,$60.5,$7.6,$70.9,,,,$98,$32.2 ,27.6,,,$350.7 ,$532 ,$102 ,$24 ,$357 ,$10 
2020'Q1,$842,"$2,288","$2,209",$669,$278,$140,$127,$76,$105,,$49,$34.1,$5.3,$15.8,,,,$37,$32.2 ,11.2,,,$350.7 ,$351 ,$34 ,$10 ,$137 ,$4 
2020'Q2,$335,$630,$566,$448,$59,$16,$18,-$10,$6,$5 ,$7,$5.7,$0.3,$15.8,,,,$37,$46.6 ,2.5,,,$350.7 ,$351 ,$34 ,$10 ,$137 ,$4 
2020'Q3,"$1,342","$2,640","$1,504",$805,$151,$61,$38,$12,$23,$5 ,$8,$12.2,$0.9,$7.4,,,,$20,$46.6 ,3.6,,,$118.6 ,$351 ,$34 ,$10 ,$137 ,$4 
2020'Q4,$859,"$1,238",$920,$761,$116,$32,$33,$53,$57,$5 ,$17,$17.8,$1.7,$7.4,,,,$20,$46.6 ,4.2,,,$118.6 ,$351 ,$34 ,$10 ,$137 ,$4 
2021'Q1,$887,"$1,141","$1,246",$628,$123,$38,$33,$52,$79,$5 ,$16,$20.3,$1.7,$5.1,$7.4,,,$29,$46.6 ,6.9,,,$118.6 ,$119 ,$38 ,$13 ,$194 ,$4 
2021'Q2,"$1,335","$2,160","$2,111",$912,$235,$95,$75,$63,$33,$13 ,$47,$23.7,$2.1,$18.1,$7.4,,,$29,$82.0 ,4.1,,,$118.6 ,$119 ,$38 ,$13 ,$194 ,$4 
2021'Q3,"$2,237","$4,676","$2,962",$831,$303,$139,$110,$83,$67,$13 ,$50,$17.8,$3.0,$18.1,$7.4,,,$49,$82.0 ,6.1,,,$180.0 ,$119 ,$38 ,$13 ,$194 ,$4 
2021'Q4,"$1,532","$2,981","$2,279",$735,$241,$89,$105,$125,$115,$13 ,$50,$38.7,$3.8,$27.0,$6.2,,,$49,$82.0 ,8.4,,,$180.0 ,$119 ,$38 ,$13 ,$194 ,$4 
2022'Q1,"$1,509","$2,695","$2,249",$649,$262,$102,$131,$112,$89,$13 ,$42,$35.5,$4.1,$27.0,$6.2,,,$85,$82.0 ,8.0,,,$180.0 ,$180 ,$86 ,$29 ,$66 ,$3 
2022'Q2,"$2,104","$4,294","$3,181",$599,$417,$145,$160,$134,$143,$15 ,$59,$32.0,$5.6,$57.1,$16.8,,,$85,10.3,11.4,,,$180.0 ,$180 ,$86 ,$29 ,$66 ,$3 
2022'Q3,"$2,884","$6,052","$3,619",$969,$459,$184,$158,$146,$131,$15 ,$68,$35.2,$6.1,$57.1,$16.8,,,$76,12.7,10.2,,,$378.2 ,$180 ,$86 ,$29 ,$66 ,$3 
2022'Q4,"$1,902","$4,049","$2,618",$730,$354,$105,$144,$146,$171,$15 ,$77,$30.7,$5.5,$61.3,$18.2,,,$76,15.8,10.9,,,$378.2 ,$180 ,$86 ,$29 ,$66 ,$3 
2023'Q1,"$1,818","$3,778","$2,665","$1,341",$371,$111,$165,$159,$149,$15 ,$83,$45.1,$6.4,$61.3,$18.2,,,$98,13.6,14.5,,,$378.2 ,$378 ,$109 ,$52 ,$79 ,$0 
