Argentina,198737095012,232557260817,287530508430,361558037110,332976484577
Australia-New Zealand,810413028226,859956373482,992196405450,1189243797120,1050135725046
Brazil,891633839853,1107626541710,1397114486471,1695855083552,1666996438681
Bulgaria,29868657858,34380536495,44432811756,54480684188,52023801230
Canada,1173108598778,1319264809590,1468820407783,1552989690721,1374625142157
Chile,122294145162,153843518171,172491076033,179894594475,171777900623
China,2285961149879,2752118657184,3550327802998,4594336785737,5101691124285
Colombia,145600529605,161792958904,206229540926,242504150472,232468663109
Czech Republic,137264185596,156236258386,190040702286,236506264753,206971882704
Egypt,89600665557,107426086956,130437828371,162818181818,189147005444
France,2192146403028,2317861544690,2655816911866,2926802941585,2700075882518
Germany,2893393187361,3046308753670,3484056680854,3808786022312,3479800820863
Greece,242315668619,269073415333,314226996944,351121399546,326829054686
Hong Kong,181569311742,193535442896,211596944503,219278749139,214047795659
Hungary,113211158292,115715618613,140186716681,158325614580,131069255620
India,820383763511,940259888787,1216736438834,1198895139005,1341888016994
Indonesia,285868619196,364570515618,432216737774,510228634992,539580085612
Italy,1864982261286,1958563654385,2222524108127,2417508414187,2209484319012
Japan,4831467035389,4601663122649,4579750920354,5106679115127,5289493117993
Macau,12160056122,14874098691,18439981612,21027018332,21587786905
Malaysia,143534405818,162692258307,193549569477,230811614370,202257453036
Mexico,917571853529,1020265057882,1102355554971,1161553459715,943437415024
Poland,306999913150,345897630736,429715132137,535612030671,440891472247
Qatar,44530494505,60882142857,79712087912,115270054945,97798351648
Rest of Eastern Europe,685798295017,774253780224,978964145800,1199240526256,1005066944461
Rest of Europe,11336503103088,12030616213648,13783153642657,14676526156445,13177742842614
Rest of Middle East,553607571234,659898818233,753592731009,950541470683,780443577062
Romania,98454380120,122023735992,174588782938,214315932061,174110532658
Russia,764015973481,989932071352,1299703478481,1660848058303,1222645900055
Saudi Arabia,328459608764,376900133511,415964509673,519796800000,429097866666
Scandinavia,966818996770,1052831739700,1212906574915,1334513553500,1144909357718
Singapore,127807848728,148627286361,180941701357,193617323539,194150283771
South Korea,934901071332,1053216909887,1172614086539,1047339010225,943941876218
Spain,1154667551775,1261846683275,1476746276854,1636115447612,1496587590847
Taiwan,,,,,
Thailand,189318408468,221758296021,262942621455,291382982430,281710630187
U.A.E.,180617467964,222116541865,257916133424,315474615738,253547358747
U.K.,2543180000000,2708441582336,3090510204081,2929411764705,2412840006231
U.S.,13039197000000,13815583000000,14474228000000,14769862000000,14478067000000
Ukraine,89238865118,111884752475,148733861386,188110390659,121552153444
