year,month_num,year_month,downloads_global,date,downloads_mena,total_mena_downloads,mena_percentage_of_global,wego_percentage_of_mena,month_name,period
2017,6,2017-06,228753,2017-06-01,128193,1733660,56.04,7.39,Jun,2017-06
2017,7,2017-07,212560,2017-07-01,127355,1827754,59.91,6.97,Jul,2017-07
2017,8,2017-08,176922,2017-08-01,106996,1680348,60.48,6.37,Aug,2017-08
2017,9,2017-09,140710,2017-09-01,84180,1057563,59.83,7.96,Sep,2017-09
2017,10,2017-10,161798,2017-10-01,79143,886808,48.91,8.92,Oct,2017-10
2017,11,2017-11,188201,2017-11-01,100874,867286,53.6,11.63,Nov,2017-11
2017,12,2017-12,192111,2017-12-01,118224,957284,61.54,12.35,Dec,2017-12
2018,1,2018-01,226281,2018-01-01,137447,1036723,60.74,13.26,Jan,2018-01
2018,2,2018-02,199700,2018-02-01,120013,899030,60.1,13.35,Feb,2018-02
2018,3,2018-03,223566,2018-03-01,115862,1257469,51.82,9.21,Mar,2018-03
2018,4,2018-04,196678,2018-04-01,107356,1336108,54.58,8.03,Apr,2018-04
2018,5,2018-05,337718,2018-05-01,215622,1599896,63.85,13.48,May,2018-05
2018,6,2018-06,313824,2018-06-01,195233,1558409,62.21,12.53,Jun,2018-06
2018,7,2018-07,313334,2018-07-01,198557,1533770,63.37,12.95,Jul,2018-07
2018,8,2018-08,344732,2018-08-01,217941,1315634,63.22,16.57,Aug,2018-08
2018,9,2018-09,470923,2018-09-01,116276,848770,24.69,13.7,Sep,2018-09
2018,10,2018-10,430394,2018-10-01,106240,882569,24.68,12.04,Oct,2018-10
2018,11,2018-11,457533,2018-11-01,111755,843340,24.43,13.25,Nov,2018-11
2018,12,2018-12,502957,2018-12-01,130949,995856,26.04,13.15,Dec,2018-12
2019,1,2019-01,569437,2019-01-01,147945,887251,25.98,16.67,Jan,2019-01
2019,2,2019-02,470446,2019-02-01,109956,799075,23.37,13.76,Feb,2019-02
2019,3,2019-03,623988,2019-03-01,146989,953101,23.56,15.42,Mar,2019-03
2019,4,2019-04,626197,2019-04-01,163831,951998,26.16,17.21,Apr,2019-04
2019,5,2019-05,686821,2019-05-01,188461,1265001,27.44,14.9,May,2019-05
2019,6,2019-06,846258,2019-06-01,266343,1494726,31.47,17.82,Jun,2019-06
2019,7,2019-07,1005546,2019-07-01,282412,1537971,28.09,18.36,Jul,2019-07
2019,8,2019-08,908213,2019-08-01,238077,1330219,26.21,17.9,Aug,2019-08
2019,9,2019-09,630160,2019-09-01,160756,1041212,25.51,15.44,Sep,2019-09
2019,10,2019-10,661053,2019-10-01,158445,921138,23.97,17.2,Oct,2019-10
2019,11,2019-11,685374,2019-11-01,163700,800334,23.88,20.45,Nov,2019-11
2019,12,2019-12,750125,2019-12-01,182877,896027,24.38,20.41,Dec,2019-12
2020,1,2020-01,820907,2020-01-01,198626,933961,24.2,21.27,Jan,2020-01
2020,2,2020-02,705641,2020-02-01,148593,695409,21.06,21.37,Feb,2020-02
2020,3,2020-03,314300,2020-03-01,61895,363822,19.69,17.01,Mar,2020-03
2020,4,2020-04,168756,2020-04-01,34894,171503,20.68,20.35,Apr,2020-04
2020,5,2020-05,172844,2020-05-01,41080,238555,23.77,17.22,May,2020-05
2020,6,2020-06,152892,2020-06-01,44347,277001,29.01,16.01,Jun,2020-06
2020,7,2020-07,165499,2020-07-01,52714,406131,31.85,12.98,Jul,2020-07
2020,8,2020-08,174591,2020-08-01,55846,492950,31.99,11.33,Aug,2020-08
2020,9,2020-09,201182,2020-09-01,59089,376900,29.37,15.68,Sep,2020-09
2020,10,2020-10,217316,2020-10-01,64005,332381,29.45,19.26,Oct,2020-10
2020,11,2020-11,195489,2020-11-01,55919,339484,28.6,16.47,Nov,2020-11
2020,12,2020-12,200294,2020-12-01,54462,392216,27.19,13.89,Dec,2020-12
2021,1,2021-01,232625,2021-01-01,64894,454331,27.9,14.28,Jan,2021-01
2021,2,2021-02,171864,2021-02-01,42235,310225,24.57,13.61,Feb,2021-02
2021,3,2021-03,201921,2021-03-01,46408,303368,22.98,15.3,Mar,2021-03
2021,4,2021-04,192129,2021-04-01,45120,311177,23.48,14.5,Apr,2021-04
2021,5,2021-05,250693,2021-05-01,81555,633043,32.53,12.88,May,2021-05
