year,month_num,year_month,country_visits_global,date,country_visits_mena,total_mena_visits,mena_percentage_of_global,wego_percentage_of_mena,month_name,period
2017,6,2017-06,4830329,2017-06-01,3036032,93562268,62.85,3.24,Jun,2017-06
2017,7,2017-07,5349197,2017-07-01,3633234,109550762,67.92,3.32,Jul,2017-07
2017,8,2017-08,5008500,2017-08-01,3274530,108339839,65.38,3.02,Aug,2017-08
2017,9,2017-09,4910709,2017-09-01,3063506,81616371,62.38,3.75,Sep,2017-09
2017,10,2017-10,4619358,2017-10-01,2802820,72539305,60.68,3.86,Oct,2017-10
2017,11,2017-11,5024624,2017-11-01,2521937,66301115,50.19,3.8,Nov,2017-11
2017,12,2017-12,5966381,2017-12-01,3090106,60345355,51.79,5.12,Dec,2017-12
2018,1,2018-01,4881999,2018-01-01,2722677,61403484,55.77,4.43,Jan,2018-01
2018,2,2018-02,4460589,2018-02-01,2214082,52377236,49.64,4.23,Feb,2018-02
2018,3,2018-03,6897034,2018-03-01,3891297,56705475,56.42,6.86,Mar,2018-03
2018,4,2018-04,6535983,2018-04-01,3608561,56084581,55.21,6.43,Apr,2018-04
2018,5,2018-05,6854647,2018-05-01,3997960,58926708,58.32,6.78,May,2018-05
2018,6,2018-06,7683382,2018-06-01,4695710,71353468,61.12,6.58,Jun,2018-06
2018,7,2018-07,8213605,2018-07-01,5179674,82742577,63.06,6.26,Jul,2018-07
2018,8,2018-08,7531982,2018-08-01,4558242,78133146,60.52,5.83,Aug,2018-08
2018,9,2018-09,6400626,2018-09-01,3540467,58758466,55.31,6.03,Sep,2018-09
2018,10,2018-10,6468628,2018-10-01,3421631,53422251,52.9,6.4,Oct,2018-10
2018,11,2018-11,6327154,2018-11-01,3261943,50580735,51.55,6.45,Nov,2018-11
2018,12,2018-12,6877033,2018-12-01,3828416,54171473,55.67,7.07,Dec,2018-12
2019,1,2019-01,7097588,2019-01-01,3816774,50457762,53.78,7.56,Jan,2019-01
2019,2,2019-02,6437539,2019-02-01,3361885,43584629,52.22,7.71,Feb,2019-02
2019,3,2019-03,7606168,2019-03-01,4233300,51686253,55.66,8.19,Mar,2019-03
2019,4,2019-04,7930483,2019-04-01,4369798,51706646,55.1,8.45,Apr,2019-04
2019,5,2019-05,7944241,2019-05-01,4744121,58687372,59.72,8.08,May,2019-05
2019,6,2019-06,8281923,2019-06-01,5142793,67686866,62.1,7.6,Jun,2019-06
2019,7,2019-07,9020416,2019-07-01,5874345,69872332,65.12,8.41,Jul,2019-07
2019,8,2019-08,8169470,2019-08-01,5148444,62401577,63.02,8.25,Aug,2019-08
2019,9,2019-09,6705502,2019-09-01,3752718,48587119,55.96,7.72,Sep,2019-09
2019,10,2019-10,7035087,2019-10-01,3689231,46832718,52.44,7.88,Oct,2019-10
2019,11,2019-11,6891899,2019-11-01,3801202,46103559,55.15,8.24,Nov,2019-11
2019,12,2019-12,7833180,2019-12-01,4195152,47703386,53.56,8.79,Dec,2019-12
2020,1,2020-01,7630495,2020-01-01,4477640,45516415,58.68,9.84,Jan,2020-01
2020,2,2020-02,7045933,2020-02-01,4065807,40212850,57.7,10.11,Feb,2020-02
2020,3,2020-03,4839424,2020-03-01,2319196,23171609,47.92,10.01,Mar,2020-03
2020,4,2020-04,2549057,2020-04-01,887967,8806150,34.84,10.08,Apr,2020-04
2020,5,2020-05,1872991,2020-05-01,726680,9516295,38.8,7.64,May,2020-05
2020,6,2020-06,2933325,2020-06-01,1389741,13848529,47.38,10.04,Jun,2020-06
2020,7,2020-07,3608901,2020-07-01,1859674,20307833,51.53,9.16,Jul,2020-07
2020,8,2020-08,3725379,2020-08-01,1840438,21297529,49.4,8.64,Aug,2020-08
2020,9,2020-09,3729830,2020-09-01,1889981,18609435,50.67,10.16,Sep,2020-09
2020,10,2020-10,4414818,2020-10-01,2315919,19536694,52.46,11.85,Oct,2020-10
2020,11,2020-11,5039840,2020-11-01,2460751,22497918,48.83,10.94,Nov,2020-11
2020,12,2020-12,4811714,2020-12-01,2344719,24366120,48.73,9.62,Dec,2020-12
2021,1,2021-01,5248410,2021-01-01,2825254,25343753,53.83,11.15,Jan,2021-01
2021,2,2021-02,3908930,2021-02-01,1947326,19512561,49.82,9.98,Feb,2021-02
2021,3,2021-03,4902667,2021-03-01,2226846,23347671,45.42,9.54,Mar,2021-03
2021,4,2021-04,5168342,2021-04-01,2238438,21094847,43.31,10.61,Apr,2021-04
2021,5,2021-05,6161869,2021-05-01,2831199,26394174,45.95,10.73,May,2021-05
2021,6,2021-06,8179589,2021-06-01,3915326,34790632,47.87,11.25,Jun,2021-06
2021,7,2021-07,7365701,2021-07-01,3948442,40263270,53.61,9.81,Jul,2021-07
2021,8,2021-08,6400439,2021-08-01,3067697,35595369,47.93,8.62,Aug,2021-08
2021,9,2021-09,5835648,2021-09-01,2919698,32072243,50.03,9.1,Sep,2021-09
2021,10,2021-10,5616505,2021-10-01,2689670,34411329,47.89,7.82,Oct,2021-10
2021,11,2021-11,6602326,2021-11-01,3226809,36154535,48.87,8.93,Nov,2021-11
2021,12,2021-12,5853716,2021-12-01,2730228,32941534,46.64,8.29,Dec,2021-12
2022,1,2022-01,5422571,2022-01-01,2525067,31060734,46.57,8.13,Jan,2022-01
2022,2,2022-02,4724071,2022-02-01,2287212,30521315,48.42,7.49,Feb,2022-02
2022,3,2022-03,6610252,2022-03-01,3348949,41791621,50.66,8.01,Mar,2022-03
2022,4,2022-04,6390155,2022-04-01,3600020,46182818,56.34,7.8,Apr,2022-04
2022,5,2022-05,7556483,2022-05-01,4610299,52785696,61.01,8.73,May,2022-05
2022,6,2022-06,8878728,2022-06-01,5780966,60358702,65.11,9.58,Jun,2022-06
2022,7,2022-07,8200240,2022-07-01,4765776,65320785,58.12,7.3,Jul,2022-07
2022,8,2022-08,7690678,2022-08-01,4489015,60393182,58.37,7.43,Aug,2022-08
2022,9,2022-09,6620500,2022-09-01,3645746,47927596,55.07,7.61,Sep,2022-09
2022,10,2022-10,7380260,2022-10-01,3951204,46452479,53.54,8.51,Oct,2022-10
2022,11,2022-11,8767509,2022-11-01,5015076,45057701,57.2,11.13,Nov,2022-11
2022,12,2022-12,7494017,2022-12-01,4061347,47340684,54.19,8.58,Dec,2022-12
2023,1,2023-01,6725782,2023-01-01,3441802,42906636,51.17,8.02,Jan,2023-01
2023,2,2023-02,8465802,2023-02-01,4674282,43791898,55.21,10.67,Feb,2023-02
2023,3,2023-03,9566635,2023-03-01,5222755,49405079,54.59,10.57,Mar,2023-03
2023,4,2023-04,8660489,2023-04-01,5421519,51652660,62.6,10.5,Apr,2023-04
2023,5,2023-05,9279202,2023-05-01,5942287,57998875,64.04,10.25,May,2023-05
2023,6,2023-06,8701793,2023-06-01,5404193,64336519,62.1,8.4,Jun,2023-06
2023,7,2023-07,8638712,2023-07-01,5110224,68465213,59.15,7.46,Jul,2023-07
2023,8,2023-08,7813002,2023-08-01,4602142,58480371,58.9,7.87,Aug,2023-08
2023,9,2023-09,6836540,2023-09-01,3780814,47079960,55.3,8.03,Sep,2023-09
2023,10,2023-10,6601722,2023-10-01,3513328,44762604,53.22,7.85,Oct,2023-10
2023,11,2023-11,6304783,2023-11-01,3495555,43033044,55.44,8.12,Nov,2023-11
2023,12,2023-12,6805084,2023-12-01,3687404,45271736,54.19,8.15,Dec,2023-12
2024,1,2024-01,7190616,2024-01-01,3912365,44696468,54.41,8.75,Jan,2024-01
2024,2,2024-02,7030054,2024-02-01,4211024,43420678,59.9,9.7,Feb,2024-02
2024,3,2024-03,6828284,2024-03-01,3966465,45595552,58.09,8.7,Mar,2024-03
2024,4,2024-04,7097751,2024-04-01,4282954,49087234,60.34,8.73,Apr,2024-04
2024,5,2024-05,8038912,2024-05-01,4723217,52146137,58.75,9.06,May,2024-05
2024,6,2024-06,8400401,2024-06-01,5288279,56334464,62.95,9.39,Jun,2024-06
2024,7,2024-07,8130171,2024-07-01,5254478,60157914,64.63,8.73,Jul,2024-07
2024,8,2024-08,7260089,2024-08-01,4487976,55614651,61.82,8.07,Aug,2024-08
2024,9,2024-09,6202199,2024-09-01,3689865,45869275,59.49,8.04,Sep,2024-09
2024,10,2024-10,6400621,2024-10-01,3630328,45242472,56.72,8.02,Oct,2024-10
2024,11,2024-11,6039928,2024-11-01,3546809,44746603,58.72,7.93,Nov,2024-11
2024,12,2024-12,6883453,2024-12-01,4068041,47993243,59.1,8.48,Dec,2024-12
2025,1,2025-01,7866977,2025-01-01,4792582,45712738,60.92,10.48,Jan,2025-01
2025,2,2025-02,6508955,2025-02-01,3845830,39857580,59.09,9.65,Feb,2025-02
